"GEO_NAME","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","C1_COUNT_TOTAL"
"E4X",389,"English",550
"E4X",390,"French",2440
"E4X",391,"English and French",25
"E4X",392,"Neither English nor French",0
"E4X",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3015
"E4X",394,"Single responses",2930
"E4X",395,"Official languages",2880
"E4X",396,"English",480
"E4X",397,"French",2400
"E4X",398,"Non-official languages",50
"E4Y",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2985
"E4Y",384,"English only",365
"E4Y",385,"French only",265
"E4Y",386,"English and French",2355
"E4Y",387,"Neither English nor French",0
"E4Y",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2985
"E4Y",389,"English",545
"E4Y",390,"French",2425
"E4Y",391,"English and French",20
"E4Y",392,"Neither English nor French",0
"E4Y",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2985
"E4Y",394,"Single responses",2915
"E4Y",395,"Official languages",2890
"E4Y",396,"English",495
"E4Y",397,"French",2400
"E4Y",398,"Non-official languages",30
"E4Z",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5865
"E4Z",384,"English only",5060
"E4Z",385,"French only",10
"E4Z",386,"English and French",785
"E4Z",387,"Neither English nor French",0
"E4Z",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5865
"E4Z",389,"English",5695
"E4Z",390,"French",160
"E4Z",391,"English and French",5
"E4Z",392,"Neither English nor French",0
"E4Z",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5865
"E4Z",394,"Single responses",5820
"E4Z",395,"Official languages",5730
"E4Z",396,"English",5560
"E4Z",397,"French",170
"E4Z",398,"Non-official languages",90
"E5A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1610
"E5A",384,"English only",1525
"E5A",385,"French only",0
"E5A",386,"English and French",80
"E5A",387,"Neither English nor French",0
"E5A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1610
"E5A",389,"English",1595
"E5A",390,"French",20
"E5A",391,"English and French",0
"E5A",392,"Neither English nor French",0
"E5A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1610
"E5A",394,"Single responses",1605
"E5A",395,"Official languages",1590
"E5A",396,"English",1570
"E5A",397,"French",25
"E5A",398,"Non-official languages",15
"E5B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3280
"E5B",384,"English only",2830
"E5B",385,"French only",5
"E5B",386,"English and French",445
"E5B",387,"Neither English nor French",5
"E5B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3280
"E5B",389,"English",3185
"E5B",390,"French",85
"E5B",391,"English and French",10
"E5B",392,"Neither English nor French",0
"E5B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3280
"E5B",394,"Single responses",3245
"E5B",395,"Official languages",3110
"E5B",396,"English",3020
"E5B",397,"French",85
"E5B",398,"Non-official languages",135
"E5C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4340
"E5C",384,"English only",3970
"E5C",385,"French only",0
"E5C",386,"English and French",365
"E5C",387,"Neither English nor French",10
"E5C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4340
"E5C",389,"English",4265
"E5C",390,"French",60
"E5C",391,"English and French",10
"E5C",392,"Neither English nor French",10
"E5C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4340
"E5C",394,"Single responses",4295
"E5C",395,"Official languages",4020
"E5C",396,"English",3950
"E5C",397,"French",70
"E5C",398,"Non-official languages",275
"E5E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",930
"E5E",384,"English only",900
"E5E",385,"French only",0
"E5E",386,"English and French",30
"E5E",387,"Neither English nor French",0
"E5E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",930
"E5E",389,"English",920
"E5E",390,"French",10
"E5E",391,"English and French",0
"E5E",392,"Neither English nor French",0
"E5E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",930
"E5E",394,"Single responses",925
"E5E",395,"Official languages",925
"E5E",396,"English",910
"E5E",397,"French",10
"E5E",398,"Non-official languages",0
"E5G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2705
"E5G",384,"English only",2570
"E5G",385,"French only",0
"E5G",386,"English and French",135
"E5G",387,"Neither English nor French",0
"E5G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2705
"E5G",389,"English",2670
"E5G",390,"French",30
"E5G",391,"English and French",0
"E5G",392,"Neither English nor French",0
"E5G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2705
"E5G",394,"Single responses",2695
"E5G",395,"Official languages",2675
"E5G",396,"English",2640
"E5G",397,"French",35
"E5G",398,"Non-official languages",20
"E5H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2880
"E5H",384,"English only",2640
"E5H",385,"French only",0
"E5H",386,"English and French",235
"E5H",387,"Neither English nor French",0
"E5H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2880
"E5H",389,"English",2790
"E5H",390,"French",85
"E5H",391,"English and French",0
"E5H",392,"Neither English nor French",0
"E5H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2880
"E5H",394,"Single responses",2835
"E5H",395,"Official languages",2720
"E5H",396,"English",2615
"E5H",397,"French",105
"E5H",398,"Non-official languages",115
"E5J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2110
"E5J",384,"English only",1890
"E5J",385,"French only",0
"E5J",386,"English and French",210
"E5J",387,"Neither English nor French",0
"E5J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2110
"E5J",389,"English",2035
"E5J",390,"French",65
"E5J",391,"English and French",0
"E5J",392,"Neither English nor French",0
"E5J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2110
"E5J",394,"Single responses",2095
"E5J",395,"Official languages",2055
"E5J",396,"English",1985
"E5J",397,"French",70
"E5J",398,"Non-official languages",40
"E5K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",7240
"E5K",384,"English only",6000
"E5K",385,"French only",0
"E5K",386,"English and French",1240
"E5K",387,"Neither English nor French",0
"E5K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",7240
"E5K",389,"English",6995
"E5K",390,"French",230
"E5K",391,"English and French",10
"E5K",392,"Neither English nor French",0
"E5K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",7240
"E5K",394,"Single responses",7160
"E5K",395,"Official languages",7095
"E5K",396,"English",6850
"E5K",397,"French",240
"E5K",398,"Non-official languages",65
"E5L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2855
"E5L",384,"English only",2645
"E5L",385,"French only",5
"E5L",386,"English and French",205
"E5L",387,"Neither English nor French",0
"E5L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2855
"E5L",389,"English",2775
"E5L",390,"French",75
"E5L",391,"English and French",5
"E5L",392,"Neither English nor French",0
"E5L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2855
"E5L",394,"Single responses",2835
"E5L",395,"Official languages",2810
"E5L",396,"English",2725
"E5L",397,"French",80
"E5L",398,"Non-official languages",25
"E5M",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2130
"E5M",384,"English only",1895
"E5M",385,"French only",10
"E5M",386,"English and French",220
"E5M",387,"Neither English nor French",0
"E5M",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2130
"E5M",389,"English",2060
"E5M",390,"French",60
"E5M",391,"English and French",5
"E5M",392,"Neither English nor French",0
"E5M",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2130
"E5M",394,"Single responses",2105
"E5M",395,"Official languages",2085
"E5M",396,"English",2020
"E5M",397,"French",60
"E5M",398,"Non-official languages",25
"E5N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",12160
"E5N",384,"English only",10290
"E5N",385,"French only",0
"E5N",386,"English and French",1865
"E5N",387,"Neither English nor French",0
"E5N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",12160
"E5N",389,"English",11860
"E5N",390,"French",290
"E5N",391,"English and French",10
"E5N",392,"Neither English nor French",0
"E5N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",12160
"E5N",394,"Single responses",12080
"E5N",395,"Official languages",11970
"E5N",396,"English",11650
"E5N",397,"French",325
"E5N",398,"Non-official languages",110
"E5P",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2615
"E5P",384,"English only",2335
"E5P",385,"French only",0
"E5P",386,"English and French",275
"E5P",387,"Neither English nor French",5
"E5P",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2615
"E5P",389,"English",2585
"E5P",390,"French",20
"E5P",391,"English and French",0
"E5P",392,"Neither English nor French",0
"E5P",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2615
"E5P",394,"Single responses",2600
"E5P",395,"Official languages",2580
"E5P",396,"English",2550
"E5P",397,"French",30
"E5P",398,"Non-official languages",30
"E5R",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1515
"E5R",384,"English only",1405
"E5R",385,"French only",0
"E5R",386,"English and French",110
"E5R",387,"Neither English nor French",0
"E5R",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1515
"E5R",389,"English",1500
"E5R",390,"French",15
"E5R",391,"English and French",0
"E5R",392,"Neither English nor French",0
"E5R",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1515
"E5R",394,"Single responses",1510
"E5R",395,"Official languages",1505
"E5R",396,"English",1485
"E5R",397,"French",15
"E5R",398,"Non-official languages",10
"E5S",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1885
"E5S",384,"English only",1635
"E5S",385,"French only",0
"E5S",386,"English and French",255
"E5S",387,"Neither English nor French",5
"E5S",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1885
"E5S",389,"English",1835
"E5S",390,"French",50
"E5S",391,"English and French",0
"E5S",392,"Neither English nor French",0
"E5S",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1885
"E5S",394,"Single responses",1875
"E5S",395,"Official languages",1860
"E5S",396,"English",1805
"E5S",397,"French",60
"E5S",398,"Non-official languages",5
"E5T",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3140
"E5T",384,"English only",2800
"E5T",385,"French only",5
"E5T",386,"English and French",335
"E5T",387,"Neither English nor French",0
"E5T",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3140
"E5T",389,"English",3100
"E5T",390,"French",35
"E5T",391,"English and French",5
"E5T",392,"Neither English nor French",0
"E5T",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3140
"E5T",394,"Single responses",3120
"E5T",395,"Official languages",3075
"E5T",396,"English",3035
"E5T",397,"French",35
"E5T",398,"Non-official languages",50
"E5V",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",720
"E5V",384,"English only",690
"E5V",385,"French only",0
"E5V",386,"English and French",25
"E5V",387,"Neither English nor French",0
"E5V",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",720
"E5V",389,"English",710
"E5V",390,"French",10
"E5V",391,"English and French",0
"E5V",392,"Neither English nor French",0
"E5V",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",720
"E5V",394,"Single responses",715
"E5V",395,"Official languages",675
"E5V",396,"English",665
"E5V",397,"French",10
"E5V",398,"Non-official languages",40
"E6A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1205
"E6A",384,"English only",1185
"E6A",385,"French only",0
"E6A",386,"English and French",25
"E6A",387,"Neither English nor French",0
"E6A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1205
"E6A",389,"English",1200
"E6A",390,"French",10
"E6A",391,"English and French",0
"E6A",392,"Neither English nor French",0
"E6A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1205
"E6A",394,"Single responses",1200
"E6A",395,"Official languages",1200
"E6A",396,"English",1185
"E6A",397,"French",15
"E6A",398,"Non-official languages",10
"E6B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1535
"E6B",384,"English only",1410
"E6B",385,"French only",0
"E6B",386,"English and French",125
"E6B",387,"Neither English nor French",0
"E6B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1535
"E6B",389,"English",1500
"E6B",390,"French",30
"E6B",391,"English and French",5
"E6B",392,"Neither English nor French",0
"E6B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1535
"E6B",394,"Single responses",1530
"E6B",395,"Official languages",1505
"E6B",396,"English",1470
"E6B",397,"French",35
"E6B",398,"Non-official languages",20
"E6C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2095
"E6C",384,"English only",1845
"E6C",385,"French only",0
"E6C",386,"English and French",250
"E6C",387,"Neither English nor French",0
"E6C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2095
"E6C",389,"English",2020
"E6C",390,"French",70
"E6C",391,"English and French",0
"E6C",392,"Neither English nor French",0
"E6C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2095
"E6C",394,"Single responses",2070
"E6C",395,"Official languages",2055
"E6C",396,"English",1975
"E6C",397,"French",75
"E6C",398,"Non-official languages",15
"E6E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1495
"E6E",384,"English only",1375
"E6E",385,"French only",0
"E6E",386,"English and French",120
"E6E",387,"Neither English nor French",0
"E6E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1495
"E6E",389,"English",1470
"E6E",390,"French",20
"E6E",391,"English and French",0
"E6E",392,"Neither English nor French",0
"E6E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1495
"E6E",394,"Single responses",1490
"E6E",395,"Official languages",1470
"E6E",396,"English",1450
"E6E",397,"French",20
"E6E",398,"Non-official languages",15
"E6G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2645
"E6G",384,"English only",2255
"E6G",385,"French only",15
"E6G",386,"English and French",375
"E6G",387,"Neither English nor French",0
"E6G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2645
"E6G",389,"English",2520
"E6G",390,"French",120
"E6G",391,"English and French",0
"E6G",392,"Neither English nor French",0
"E6G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2645
"E6G",394,"Single responses",2620
"E6G",395,"Official languages",2590
"E6G",396,"English",2470
"E6G",397,"French",120
"E6G",398,"Non-official languages",30
"E6H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1220
"E6H",384,"English only",1115
"E6H",385,"French only",0
"E6H",386,"English and French",100
"E6H",387,"Neither English nor French",0
"E6H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1220
"E6H",389,"English",1170
"E6H",390,"French",40
"E6H",391,"English and French",0
"E6H",392,"Neither English nor French",0
"E6H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1220
"E6H",394,"Single responses",1210
"E6H",395,"Official languages",1195
"E6H",396,"English",1145
"E6H",397,"French",45
"E6H",398,"Non-official languages",20
"E6J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1200
"E6J",384,"English only",1165
"E6J",385,"French only",0
"E6J",386,"English and French",35
"E6J",387,"Neither English nor French",0
"E6J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1200
"E6J",389,"English",1185
"E6J",390,"French",15
"E6J",391,"English and French",0
"E6J",392,"Neither English nor French",0
"E6J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1200
"E6J",394,"Single responses",1195
"E6J",395,"Official languages",1185
"E6J",396,"English",1165
"E6J",397,"French",15
"E6J",398,"Non-official languages",10
"E6K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4065
"E6K",384,"English only",3470
"E6K",385,"French only",0
"E6K",386,"English and French",595
"E6K",387,"Neither English nor French",0
"E6K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4065
"E6K",389,"English",3955
"E6K",390,"French",100
"E6K",391,"English and French",10
"E6K",392,"Neither English nor French",0
"E6K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4065
"E6K",394,"Single responses",4010
"E6K",395,"Official languages",3935
"E6K",396,"English",3825
"E6K",397,"French",110
"E6K",398,"Non-official languages",80
"E6L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4820
"E6L",384,"English only",4255
"E6L",385,"French only",0
"E6L",386,"English and French",560
"E6L",387,"Neither English nor French",0
"E6L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4820
"E6L",389,"English",4640
"E6L",390,"French",165
"E6L",391,"English and French",10
"E6L",392,"Neither English nor French",0
"E6L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4820
"E6L",394,"Single responses",4790
"E6L",395,"Official languages",4725
"E6L",396,"English",4550
"E6L",397,"French",175
"E6L",398,"Non-official languages",65
"E7A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3635
"E7A",384,"English only",100
"E7A",385,"French only",1695
"E7A",386,"English and French",1835
"E7A",387,"Neither English nor French",0
"E7A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3635
"E7A",389,"English",275
"E7A",390,"French",3330
"E7A",391,"English and French",30
"E7A",392,"Neither English nor French",0
"E7A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3635
"E7A",394,"Single responses",3560
"E7A",395,"Official languages",3530
"E7A",396,"English",245
"E7A",397,"French",3285
"E7A",398,"Non-official languages",40
"E7B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5625
"E7B",384,"English only",65
"E7B",385,"French only",2545
"E7B",386,"English and French",3015
"E7B",387,"Neither English nor French",0
"E7B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5625
"E7B",389,"English",220
"E7B",390,"French",5390
"E7B",391,"English and French",15
"E7B",392,"Neither English nor French",0
"E7B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5625
"E7B",394,"Single responses",5540
"E7B",395,"Official languages",5525
"E7B",396,"English",195
"E7B",397,"French",5325
"E7B",398,"Non-official languages",15
"E7C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4935
"E7C",384,"English only",75
"E7C",385,"French only",2045
"E7C",386,"English and French",2810
"E7C",387,"Neither English nor French",5
"E7C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4935
"E7C",389,"English",215
"E7C",390,"French",4685
"E7C",391,"English and French",25
"E7C",392,"Neither English nor French",5
"E7C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4935
"E7C",394,"Single responses",4840
"E7C",395,"Official languages",4815
"E7C",396,"English",200
"E7C",397,"French",4610
"E7C",398,"Non-official languages",25
"E7E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4000
"E7E",384,"English only",135
"E7E",385,"French only",1320
"E7E",386,"English and French",2545
"E7E",387,"Neither English nor French",0
"E7E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4000
"E7E",389,"English",285
"E7E",390,"French",3695
"E7E",391,"English and French",25
"E7E",392,"Neither English nor French",0
"E7E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4000
"E7E",394,"Single responses",3910
"E7E",395,"Official languages",3890
"E7E",396,"English",260
"E7E",397,"French",3635
"E7E",398,"Non-official languages",15
"E7G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3590
"E7G",384,"English only",2910
"E7G",385,"French only",40
"E7G",386,"English and French",645
"E7G",387,"Neither English nor French",0
"E7G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3590
"E7G",389,"English",3135
"E7G",390,"French",450
"E7G",391,"English and French",10
"E7G",392,"Neither English nor French",0
"E7G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3590
"E7G",394,"Single responses",3535
"E7G",395,"Official languages",3495
"E7G",396,"English",3035
"E7G",397,"French",460
"E7G",398,"Non-official languages",40
"E7H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5545
"E7H",384,"English only",4900
"E7H",385,"French only",5
"E7H",386,"English and French",615
"E7H",387,"Neither English nor French",25
"E7H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5545
"E7H",389,"English",5300
"E7H",390,"French",200
"E7H",391,"English and French",15
"E7H",392,"Neither English nor French",25
"E7H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5545
"E7H",394,"Single responses",5350
"E7H",395,"Official languages",5150
"E7H",396,"English",4935
"E7H",397,"French",210
"E7H",398,"Non-official languages",205
"E7J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",1875
"E7J",384,"English only",1760
"E7J",385,"French only",0
"E7J",386,"English and French",110
"E7J",387,"Neither English nor French",0
"E7J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",1875
"E7J",389,"English",1855
"E7J",390,"French",20
"E7J",391,"English and French",0
"E7J",392,"Neither English nor French",0
"E7J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",1875
"E7J",394,"Single responses",1865
"E7J",395,"Official languages",1845
"E7J",396,"English",1830
"E7J",397,"French",15
"E7J",398,"Non-official languages",20
"E7K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2400
"E7K",384,"English only",2240
"E7K",385,"French only",0
"E7K",386,"English and French",160
"E7K",387,"Neither English nor French",0
"E7K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2400
"E7K",389,"English",2375
"E7K",390,"French",30
"E7K",391,"English and French",0
"E7K",392,"Neither English nor French",0
"E7K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2400
"E7K",394,"Single responses",2395
"E7K",395,"Official languages",2345
"E7K",396,"English",2310
"E7K",397,"French",35
"E7K",398,"Non-official languages",50
"E7L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5090
"E7L",384,"English only",4555
"E7L",385,"French only",5
"E7L",386,"English and French",530
"E7L",387,"Neither English nor French",0
"E7L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5090
"E7L",389,"English",4975
"E7L",390,"French",100
"E7L",391,"English and French",10
"E7L",392,"Neither English nor French",0
"E7L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5090
"E7L",394,"Single responses",5055
"E7L",395,"Official languages",4895
"E7L",396,"English",4785
"E7L",397,"French",115
"E7L",398,"Non-official languages",160
"E7M",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",10220
"E7M",384,"English only",8975
"E7M",385,"French only",10
"E7M",386,"English and French",1200
"E7M",387,"Neither English nor French",35
"E7M",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",10220
"E7M",389,"English",10020
"E7M",390,"French",150
"E7M",391,"English and French",20
"E7M",392,"Neither English nor French",30
"E7M",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",10220
"E7M",394,"Single responses",10085
"E7M",395,"Official languages",9400
"E7M",396,"English",9245
"E7M",397,"French",155
"E7M",398,"Non-official languages",685
"E7N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3140
"E7N",384,"English only",2810
"E7N",385,"French only",0
"E7N",386,"English and French",320
"E7N",387,"Neither English nor French",15
"E7N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3140
"E7N",389,"English",3085
"E7N",390,"French",40
"E7N",391,"English and French",10
"E7N",392,"Neither English nor French",15
"E7N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3140
"E7N",394,"Single responses",3120
"E7N",395,"Official languages",2970
"E7N",396,"English",2930
"E7N",397,"French",40
"E7N",398,"Non-official languages",150
"E7P",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3420
"E7P",384,"English only",3235
"E7P",385,"French only",0
"E7P",386,"English and French",185
"E7P",387,"Neither English nor French",0
"E7P",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3420
"E7P",389,"English",3385
"E7P",390,"French",40
"E7P",391,"English and French",0
"E7P",392,"Neither English nor French",0
"E7P",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3420
"E7P",394,"Single responses",3405
"E7P",395,"Official languages",3350
"E7P",396,"English",3305
"E7P",397,"French",45
"E7P",398,"Non-official languages",60
"E8A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3525
"E8A",384,"English only",60
"E8A",385,"French only",2420
"E8A",386,"English and French",1030
"E8A",387,"Neither English nor French",10
"E8A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3525
"E8A",389,"English",105
"E8A",390,"French",3395
"E8A",391,"English and French",15
"E8A",392,"Neither English nor French",10
"E8A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3525
"E8A",394,"Single responses",3500
"E8A",395,"Official languages",3430
"E8A",396,"English",55
"E8A",397,"French",3375
"E8A",398,"Non-official languages",65
"E8B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2290
"E8B",384,"English only",20
"E8B",385,"French only",1610
"E8B",386,"English and French",660
"E8B",387,"Neither English nor French",0
"E8B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2290
"E8B",389,"English",65
"E8B",390,"French",2225
"E8B",391,"English and French",0
"E8B",392,"Neither English nor French",0
"E8B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2290
"E8B",394,"Single responses",2280
"E8B",395,"Official languages",2270
"E8B",396,"English",60
"E8B",397,"French",2210
"E8B",398,"Non-official languages",5
"E8C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",3550
"E8C",384,"English only",1415
"E8C",385,"French only",145
"E8C",386,"English and French",1990
"E8C",387,"Neither English nor French",5
"E8C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",3550
"E8C",389,"English",2115
"E8C",390,"French",1395
"E8C",391,"English and French",40
"E8C",392,"Neither English nor French",0
"E8C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",3550
"E8C",394,"Single responses",3405
"E8C",395,"Official languages",3365
"E8C",396,"English",1985
"E8C",397,"French",1380
"E8C",398,"Non-official languages",35
"E8E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5055
"E8E",384,"English only",580
"E8E",385,"French only",965
"E8E",386,"English and French",3515
"E8E",387,"Neither English nor French",0
"E8E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5055
"E8E",389,"English",985
"E8E",390,"French",4015
"E8E",391,"English and French",50
"E8E",392,"Neither English nor French",0
"E8E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5055
"E8E",394,"Single responses",4900
"E8E",395,"Official languages",4880
"E8E",396,"English",925
"E8E",397,"French",3955
"E8E",398,"Non-official languages",20
"E8G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2470
"E8G",384,"English only",1815
"E8G",385,"French only",25
"E8G",386,"English and French",625
"E8G",387,"Neither English nor French",0
"E8G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2470
"E8G",389,"English",2105
"E8G",390,"French",350
"E8G",391,"English and French",10
"E8G",392,"Neither English nor French",0
"E8G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2470
"E8G",394,"Single responses",2420
"E8G",395,"Official languages",2400
"E8G",396,"English",2040
"E8G",397,"French",365
"E8G",398,"Non-official languages",20
"E8J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5525
"E8J",384,"English only",220
"E8J",385,"French only",1575
"E8J",386,"English and French",3725
"E8J",387,"Neither English nor French",0
"E8J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5525
"E8J",389,"English",485
"E8J",390,"French",5010
"E8J",391,"English and French",30
"E8J",392,"Neither English nor French",0
"E8J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5525
